"filename", "language", "JavaScript", "JSON", "Markdown", "Shell Script", "YAML", "Batch", "Groovy", "Properties", "XML", "Objective-C", "C++", "Java", "JavaScript React", "comment", "blank", "total"
"/home/andryh/dev/repos/Zanysound/src/components/ScreenPlaceholder.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/home/andryh/dev/repos/Zanysound/src/components/Song/index.js", "JavaScript", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 267
"/home/andryh/dev/repos/Zanysound/src/components/SongWithNavigation.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/andryh/dev/repos/Zanysound/src/components/TrackModalWindow.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/home/andryh/dev/repos/Zanysound/src/components/TrackModalWindowButton.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/andryh/dev/repos/Zanysound/src/components/TrackSearchInput.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 127
"/home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/CollectionScreen.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"/home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/CollectionScreenHeader.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/andryh/dev/repos/Zanysound/src/components/screens/FavoritesScreen.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 113
"/home/andryh/dev/repos/Zanysound/src/components/screens/ProfileScreen.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 96
"/home/andryh/dev/repos/Zanysound/src/components/screens/RecommendedScreen.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 115
"/home/andryh/dev/repos/Zanysound/src/components/screens/SearchScreen.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 163
"/home/andryh/dev/repos/Zanysound/src/consts/URLConsts.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/andryh/dev/repos/Zanysound/src/consts/timeContst.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/andryh/dev/repos/Zanysound/src/consts/windowSizeConsts.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/andryh/dev/repos/Zanysound/src/errors/NetworkError.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/andryh/dev/repos/Zanysound/src/helpers/FavoriteSongsHelper.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49, 268
"/home/andryh/dev/repos/Zanysound/src/helpers/Mp3UrlHelper.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/home/andryh/dev/repos/Zanysound/src/helpers/NetworkConnectionHelper.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 65
"/home/andryh/dev/repos/Zanysound/src/helpers/PlaylistsHelper.js", "JavaScript", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75, 395
"/home/andryh/dev/repos/Zanysound/src/helpers/RecommendedSongsHelper.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 106
"/home/andryh/dev/repos/Zanysound/src/helpers/SearchHelper.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 126
"/home/andryh/dev/repos/Zanysound/src/helpers/TrackCacheHelper.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 144
