"filename", "language", "JavaScript", "Objective-C", "JSON", "XML", "C++", "JavaScript React", "Markdown", "CSS", "YAML", "Shell Script", "Groovy", "Properties", "Batch", "Java", "comment", "blank", "total"
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\solid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 2, 17
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\solid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\svg-with-js.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 4, 56, 372
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\svg-with-js.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\v4-shims.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1556, 0, 0, 0, 0, 0, 0, 4, 613, 2173
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\css\v4-shims.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\categories.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 4086, 0, 0, 0, 0, 0, 0, 1, 4087
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\icons.json", "JSON", 0, 0, 172069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172069
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\icons.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41070, 0, 0, 0, 0, 0, 0, 1, 41071
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\shims.json", "JSON", 0, 0, 2317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2317
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\shims.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 1, 299
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\metadata\sponsors.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 796, 0, 0, 0, 0, 0, 0, 1, 797
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 3633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 3638
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\webfonts\fa-duotone-900.svg", "XML", 0, 0, 0, 15295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15300
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\webfonts\fa-light-300.svg", "XML", 0, 0, 0, 12393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 12398
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 11295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11300
"c:\dev\repos\ZanysoundApp\assets\fonts\fontawesome\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 9630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9635
"c:\dev\repos\ZanysoundApp\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\repos\ZanysoundApp\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"c:\dev\repos\ZanysoundApp\ios\ZanysoundAppTests\ZanysoundAppTests.m", "Objective-C", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 66
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\AppDelegate.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\dev\repos\ZanysoundApp\ios\ZanysoundApp\AppDelegate.m", "Objective-C", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59
